state,year,population
District of Columbia,2021,683154.0
Alabama,2022,5028092.0
Alaska,2022,734821.0
Arizona,2022,7172282.0
Arkansas,2022,3018669.0
California,2022,39356104.0
Colorado,2022,5770790.0
Connecticut,2022,3611317.0
Delaware,2022,993635.0
Florida,2022,21634529.0
Georgia,2022,10722325.0
Hawaii,2022,1450589.0
Idaho,2022,1854109.0
Illinois,2022,12757634.0
Indiana,2022,6784403.0
Iowa,2022,3188836.0
Kansas,2022,2935922.0
Kentucky,2022,4502935.0
Louisiana,2022,4640546.0
Maine,2022,1366949.0
Maryland,2022,6161707.0
Massachusetts,2022,6984205.0
Michigan,2022,10057921.0
Minnesota,2022,5695292.0
Mississippi,2022,2958846.0
Missouri,2022,6154422.0
Montana,2022,1091840.0
Nebraska,2022,1958939.0
Nevada,2022,3104817.0
New Hampshire,2022,1379610.0
New Jersey,2022,9249063.0
New Mexico,2022,2112463.0
New York,2022,19994379.0
North Carolina,2022,10470214.0
North Dakota,2022,776874.0
Ohio,2022,11774683.0
Oklahoma,2022,3970497.0
Oregon,2022,4229374.0
Pennsylvania,2022,12989208.0
Rhode Island,2022,1094250.0
South Carolina,2022,5142750.0
South Dakota,2022,890342.0
Tennessee,2022,6923772.0
Texas,2022,29243342.0
Utah,2022,3283809.0
Vermont,2022,643816.0
Virginia,2022,8624511.0
Washington,2022,7688549.0
West Virginia,2022,1792967.0
Wisconsin,2022,5882128.0
Wyoming,2022,577929.0
District of Columbia,2022,670587.0
Alabama,2023,5054253.0
Alaska,2023,733971.0
Arizona,2023,7268175.0
Arkansas,2023,3032651.0
California,2023,39242785.0
Colorado,2023,5810774.0
Connecticut,2023,3598348.0
Delaware,2023,1005872.0
Florida,2023,21928881.0
Georgia,2023,10822590.0
Hawaii,2023,1445635.0
Idaho,2023,1893296.0
Illinois,2023,12692653.0
Indiana,2023,6811752.0
Iowa,2023,3195937.0
Kansas,2023,2937569.0
Kentucky,2023,4510725.0
Louisiana,2023,4621025.0
Maine,2023,1377400.0
Maryland,2023,6170738.0
Massachusetts,2023,6992395.0
Michigan,2023,10051595.0
